"FunCat","Regulon","Operon","SACOL.numbers","USA300.numbers","Gene.symbol","log2.fold.change","Fold.change","Function"
"Cell wall biosynthesis","CidR","budA1 alsS","SACOL2198","USA300HOU_2201","budA1",6.26,76.77,"acetolactate decarboxylase"
"Cell wall biosynthesis","CidR","budA1 alsS","SACOL2199","USA300HOU_2202","alsS",6.28,77.67,"acetolactate synthase"
"Cell wall biosynthesis","CidR","cidCBA","SACOL2553","USA300HOU_2531","cidC",3.64,12.43,"pyruvate oxidase"
"Cell wall biosynthesis","CidR","cidCBA","SACOL2554","USA300HOU_2532","cidB",3.25,9.54,"hypothetical membrane protein"
"Cell wall biosynthesis","CidR","cidCBA","SACOL2554.1","USA300HOU_2533","cidA",4.19,18.21,"hypothetical membrane protein"
"Cell wall biosynthesis","CidR","lrgA lrgB","SACOL0247","USA300HOU_0273","lrgA",-2,0.25,"murein hydrolase regulator LrgA"
"Cell wall biosynthesis","CidR","lrgA lrgB","SACOL0248","USA300HOU_0274","lrgB",-0.32,0.8,"murein hydrolase regulator LrgB"
"Cell wall biosynthesis","GraRS","-","SACOL0031","USA300HOU_0029","ugpQ",1.16,2.23,"glycerophosphodiester phosphodiesterase"
"Cell wall biosynthesis","GraRS","-","SACOL2129","USA300HOU_2126","deoC2",2.38,5.22,"deoxyribose-phosphate aldolase"
"Cell wall biosynthesis","GraRS","aapA","SACOL1743","USA300HOU_1683","aapA",-1.72,0.3,"APC family amino acid-polyamine-organocation transporter"
"Cell wall biosynthesis","GraRS","ackA SACOL1761","SACOL1760","USA300HOU_1698","ackA",-0.01,0.99,"acetate kinase"
"Cell wall biosynthesis","GraRS","ackA SACOL1761","SACOL1761","USA300HOU_1699","USA300HOU_1699",1.19,2.28,"hypothetical protein"
"Cell wall biosynthesis","GraRS","acpD","SACOL0190","USA300HOU_0218","acpD",6.17,71.8,"azoreductase"
"Cell wall biosynthesis","GraRS","adhE","SACOL0135","USA300HOU_0162","adhE",-1.7,0.31,"alcohol dehydrogenase"
"Cell wall biosynthesis","GraRS","akr5F","SACOL2192","USA300HOU_2193","akr5F",2.18,4.52,"oxidoreductase, aldo/keto reductase"
"Cell wall biosynthesis","GraRS","amiD2","SACOL2557","USA300HOU_2536","amiD2",-2.25,0.21,"possible secretory antigen"
"Cell wall biosynthesis","GraRS","atpCDGAHFEBI mnaA upp glyA ywlG","SACOL2094","USA300HOU_2092","atpC",-1.08,0.47,"proton- translocating F-type ATPase epsilon subunit"
"Cell wall biosynthesis","GraRS","atpCDGAHFEBI mnaA upp glyA ywlG","SACOL2095","USA300HOU_2093","atpD",-1.21,0.43,"proton-translocating F-type ATPase delta subunit"
"Cell wall biosynthesis","GraRS","atpCDGAHFEBI mnaA upp glyA ywlG","SACOL2096","USA300HOU_2094","atpG",-1.45,0.37,"proton-translocating F-type ATPase  gamma subunit"
"Cell wall biosynthesis","GraRS","atpCDGAHFEBI mnaA upp glyA ywlG","SACOL2097","USA300HOU_2095","atpA",-1.58,0.33,"proton-translocating F-type ATPase  alpha subunit"
"Cell wall biosynthesis","GraRS","atpCDGAHFEBI mnaA upp glyA ywlG","SACOL2098","USA300HOU_2096","atpH",-1.54,0.34,"proton-translocating F-type ATPase  beta subunit"
"Cell wall biosynthesis","GraRS","atpCDGAHFEBI mnaA upp glyA ywlG","SACOL2099","USA300HOU_2097","atpF",-1.51,0.35,"proton-translocating F-type ATPase subunit  B"
"Cell wall biosynthesis","GraRS","atpCDGAHFEBI mnaA upp glyA ywlG","SACOL2100","USA300HOU_2098","atpE",-1.12,0.46,"proton-translocating F-type ATPase epsilon subunit C"
"Cell wall biosynthesis","GraRS","atpCDGAHFEBI mnaA upp glyA ywlG","SACOL2101","USA300HOU_2099","atpB",-1.18,0.44,"proton-translocating F-type ATPase beta subunit A"
"Cell wall biosynthesis","GraRS","atpCDGAHFEBI mnaA upp glyA ywlG","SACOL2102","USA300HOU_2100","atpI",-1.27,0.41,"hypothetical protein"
"Cell wall biosynthesis","GraRS","atpCDGAHFEBI mnaA upp glyA ywlG","SACOL2103","USA300HOU_2101","mnaA",-0.46,0.73,"UDP-N-acetylglucosamine 2-epimerase"
"Cell wall biosynthesis","GraRS","atpCDGAHFEBI mnaA upp glyA ywlG","SACOL2104","USA300HOU_2102","upp",-0.32,0.8,"uracil phosphoribosyltransferase"
"Cell wall biosynthesis","GraRS","atpCDGAHFEBI mnaA upp glyA ywlG","SACOL2105","USA300HOU_2103","glyA",-0.55,0.68,"glycine hydroxymethyltransferase"
"Cell wall biosynthesis","GraRS","atpCDGAHFEBI mnaA upp glyA ywlG","SACOL2106","USA300HOU_2104","ywlG",-0.73,0.6,"hypothetical protein"
"Cell wall biosynthesis","GraRS","bfmBB bfmAB bfmAA lpdA","SACOL1560","USA300HOU_1517","bfmBB",0.55,1.47,"dihydrolipoyllysine-residue acetyltransferase"
"Cell wall biosynthesis","GraRS","bfmBB bfmAB bfmAA lpdA","SACOL1561","USA300HOU_1518","bfmBAB",0.69,1.62,"2-oxoisovalerate dehydrogenase (acylating) beta subunit"
"Cell wall biosynthesis","GraRS","bfmBB bfmAB bfmAA lpdA","SACOL1562","USA300HOU_1519","bfmBAA",0.75,1.68,"pyruvate dehydrogenase (acetyl-transferring) alpha subunit"
"Cell wall biosynthesis","GraRS","bfmBB bfmAB bfmAA lpdA","SACOL1563","USA300HOU_1520","lpdA",0.77,1.7,"dihydrolipoyl dehydrogenase"
"Cell wall biosynthesis","GraRS","brnQ1","SACOL0171","USA300HOU_0199","brnQ1",-0.98,0.51,"possible LIVCS family branched chain amino acid:cation symporter"
"Cell wall biosynthesis","GraRS","cdr yitU","SACOL0975","USA300HOU_0929","cdr",1.15,2.22,"coenzyme A disulfide reductase"
"Cell wall biosynthesis","GraRS","cdr yitU","SACOL0976","USA300HOU_0930","yitU",1.16,2.24,"haloacid dehalogenase-like hydrolase"
"Cell wall biosynthesis","GraRS","cinA","SACOL1303","USA300HOU_1216","cinA",1.16,2.24,"competence-damage inducible protein CinA"
"Cell wall biosynthesis","GraRS","citCZ","SACOL1741","USA300HOU_1681","citC",4.44,21.66,"isocitrate dehydrogenase (NADP(+))"
"Cell wall biosynthesis","GraRS","citCZ","SACOL1742","USA300HOU_1682","citZ",3.89,14.84,"citrate (Si)-synthase"
"Cell wall biosynthesis","GraRS","coaE fpg polA","SACOL1735","USA300HOU_1675","coaE",1.87,3.65,"dephospho-CoA kinase"
"Cell wall biosynthesis","GraRS","coaE fpg polA","SACOL1736","USA300HOU_1676","fpg",1.78,3.45,"DNA-formamidopyrimidine glycosylase"
"Cell wall biosynthesis","GraRS","coaE fpg polA","SACOL1737","USA300HOU_1677","polA",1.87,3.66,"DNA-directed DNA polymerase I"
"Cell wall biosynthesis","GraRS","cydA cydB","SACOL1094","USA300HOU_1028","cydA",-0.28,0.82,"cytochrome d ubiquinol oxidase subunit I"
"Cell wall biosynthesis","GraRS","cydA cydB","SACOL1095","USA300HOU_1029","cydB",-0.67,0.63,"cytochrome d ubiquinol oxidase subunit II"
"Cell wall biosynthesis","GraRS","dck dgk","SACOL0603","USA300HOU_0550","dck",-2.55,0.17,"deoxynucleoside kinase"
"Cell wall biosynthesis","GraRS","dck dgk","SACOL0604","USA300HOU_0551","dgk",-4.02,0.06,"deoxynucleoside kinase"
"Cell wall biosynthesis","GraRS","deoC1 deoB","SACOL0123","USA300HOU_0150","deoC1",1.38,2.6,"deoxyribose-phosphate aldolase"
"Cell wall biosynthesis","GraRS","deoC1 deoB","SACOL0124","USA300HOU_0151","deoB",1.51,2.84,"phosphopentomutase"
"Cell wall biosynthesis","GraRS","ebpS","SACOL1522","USA300HOU_1419","ebpS",2.62,6.15,"elastin-binding protein"
"Cell wall biosynthesis","GraRS","esaA essA esaB essB yukA esxC esxB esaE esxD SACOL0281","SACOL0275","USA300HOU_0301","essB",-2.11,0.23,"virulence protein EssB"
"Cell wall biosynthesis","GraRS","esaA essA esaB essB yukA esxC esxB esaE esxD SACOL0281","SACOL0281","USA300HOU_0307","USA300HOU_0307",-0.7,0.61,"hypothetical protein"
"Cell wall biosynthesis","GraRS","esxA","SACOL0271","USA300HOU_0297","esxA",0.63,1.55,"ESAT-6 family virulence protein"
"Cell wall biosynthesis","GraRS","fbp","SACOL2527","USA300HOU_2505","fbp",5.77,54.69,"fructose-bisphosphatase"
"Cell wall biosynthesis","GraRS","femAB","SACOL1410","USA300HOU_1309","femA",0.86,1.81,"methicillin resistance factor FemA"
"Cell wall biosynthesis","GraRS","femAB","SACOL1411","USA300HOU_1310","femB",1.02,2.03,"methicillin resistance factor FemB"
"Cell wall biosynthesis","GraRS","fhs","SACOL1782","USA300HOU_1721","fhs",1.97,3.93,"formate--tetrahydrofolate ligase"
"Cell wall biosynthesis","GraRS","gcvPB gcvPA gcvT","SACOL1593","USA300HOU_1536","gcvPB",3.01,8.08,"glycine dehydrogenase (decarboxylating) subunit 2"
"Cell wall biosynthesis","GraRS","gcvPB gcvPA gcvT","SACOL1594","USA300HOU_1537","gcvPA",3.02,8.12,"glycine dehydrogenase (decarboxylating) subunit 1"
"Cell wall biosynthesis","GraRS","gcvPB gcvPA gcvT","SACOL1595","USA300HOU_1538","gcvT",2.9,7.48,"aminomethyltransferase"
"Cell wall biosynthesis","GraRS","glpF","SACOL1319","USA300HOU_1230","glpF",-2.18,0.22,"MIP family major intrinsic protein channel protein"
"Cell wall biosynthesis","GraRS","glpQ1","SACOL0207","USA300HOU_0236","glpQ1",-2.42,0.19,"possible glycerophosphodiester phosphodiesterase"
"Cell wall biosynthesis","GraRS","gntPKR SACOL2517","SACOL2514","USA300HOU_2492","gntP",1.87,3.65,"GntP family gluconate:proton (H+) symporter"
"Cell wall biosynthesis","GraRS","gntPKR SACOL2517","SACOL2515","USA300HOU_2493","gntK",-0.49,0.71,"gluconokinase"
"Cell wall biosynthesis","GraRS","gntPKR SACOL2517","SACOL2516","USA300HOU_2494","gntR",-1.18,0.44,"gluconate operon transcriptional repressor"
"Cell wall biosynthesis","GraRS","gntPKR SACOL2517","SACOL2517","USA300HOU_2495","USA300HOU_2495",1.12,2.17,"MerR family transcriptional regulator"
"Cell wall biosynthesis","GraRS","gpsB SACOL1485 SACOL1486","SACOL1484","USA300HOU_1383","gpsB",0.16,1.12,"hypothetical protein"
"Cell wall biosynthesis","GraRS","gpsB SACOL1485 SACOL1486","SACOL1485","USA300HOU_1384","USA300HOU_1384",1.03,2.04,"hypothetical protein"
"Cell wall biosynthesis","GraRS","gpsB SACOL1485 SACOL1486","SACOL1486","USA300HOU_1385","USA300HOU_1385",1.27,2.41,"hypothetical protein"
"Cell wall biosynthesis","GraRS","graXRS","SACOL0715","USA300HOU_0679","graX",0.73,1.66,"hypothetical protein"
"Cell wall biosynthesis","GraRS","graXRS","SACOL0716","USA300HOU_0680","graR",0.96,1.95,"response regulator"
"Cell wall biosynthesis","GraRS","graXRS","SACOL0717","USA300HOU_0681","graS",1.01,2.01,"sensor histidine kinase"
"Cell wall biosynthesis","GraRS","hslO","SACOL0556","USA300HOU_0506","hslO",1.7,3.24,"heat shock protein Hsp33"
"Cell wall biosynthesis","GraRS","hssRS lytT SACOL2361","SACOL2358","USA300HOU_2344","hssR",0.03,1.02,"hemin DNA-binding response regulator"
"Cell wall biosynthesis","GraRS","hssRS lytT SACOL2361","SACOL2359","USA300HOU_2345","hssS",0.15,1.11,"hemin sensor histidine kinase"
"Cell wall biosynthesis","GraRS","hssRS lytT SACOL2361","SACOL2360","USA300HOU_2346","lytT",-2.32,0.2,"LytTr DNA-binding region-containing protein"
"Cell wall biosynthesis","GraRS","hssRS lytT SACOL2361","SACOL2361","USA300HOU_2347","USA300HOU_2347",-1.65,0.32,"hypothetical membrane protein"
"Cell wall biosynthesis","GraRS","icaADBC","SACOL2689","USA300HOU_2666","icaA",1.43,2.69,"intercellular adhesion protein A"
"Cell wall biosynthesis","GraRS","icaADBC","SACOL2690","USA300HOU_2667","icaD",0.19,1.14,"intercellular adhesion protein D"
"Cell wall biosynthesis","GraRS","icaADBC","SACOL2691","USA300HOU_2668","icaB",-0.3,0.81,"intercellular adhesion protein B"
"Cell wall biosynthesis","GraRS","icaADBC","SACOL2692","USA300HOU_2669","icaC",-0.2,0.87,"intercellular adhesion protein C"
"Cell wall biosynthesis","GraRS","isdl SACOL0153","SACOL0152","USA300HOU_0179","isdI",3.32,9.96,"heme-degrading enzyme IsdG"
"Cell wall biosynthesis","GraRS","lctP","SACOL0093","USA300HOU_0121","lctP",-2.03,0.25,"LctP family L-lactate permease"
"Cell wall biosynthesis","GraRS","lctP_2","SACOL2363","USA300HOU_2349","lctP_2",-3.54,0.09,"LctP family L-lactate permease"
"Cell wall biosynthesis","GraRS","malKEFD","SACOL0192","USA300HOU_0220","malK",-1.59,0.33,"maltose ABC transporter ATP-binding protein"
"Cell wall biosynthesis","GraRS","malKEFD","SACOL0193","USA300HOU_0221","malE",0.2,1.15,"maltose ABC transporter, binding protein"
"Cell wall biosynthesis","GraRS","malKEFD","SACOL0194","USA300HOU_0222","malF",1.92,3.8,"maltose ABC transporter, permease"
"Cell wall biosynthesis","GraRS","malKEFD","SACOL0195","USA300HOU_0223","malD",2.69,6.46,"maltose ABC transporter, permease"
"Cell wall biosynthesis","GraRS","mgrA","SACOL0746","USA300HOU_0709","mgrA",-1.61,0.33,"possible MarR family transcriptional regulator"
"Cell wall biosynthesis","GraRS","mhpD","SACOL0973","USA300HOU_0927","mhpD",2.46,5.49,"2-keto-4-pentenoate hydratase"
"Cell wall biosynthesis","GraRS","mmpL","SACOL2566","USA300HOU_2546","mmpL",0.91,1.88,"MmpL efflux pump"
"Cell wall biosynthesis","GraRS","mtaB rsmE prmA dnaJ dnaK grpE hrcA","SACOL1633","USA300HOU_1577","mtaB",0.42,1.34,"possible 2-methylthioadenine synthase"
"Cell wall biosynthesis","GraRS","mtaB rsmE prmA dnaJ dnaK grpE hrcA","SACOL1634","USA300HOU_1578","rsmE",1.91,3.76,"hypothetical protein"
"Cell wall biosynthesis","GraRS","mtaB rsmE prmA dnaJ dnaK grpE hrcA","SACOL1635","USA300HOU_1579","prmA",3.36,10.27,"ribosomal protein L11 methyltransferase"
"Cell wall biosynthesis","GraRS","mtlF mtlR mtlA mtlD","SACOL2146","USA300HOU_2146","mtlF",-3.59,0.08,"PTS system, mannitol-specific IIBC components"
"Cell wall biosynthesis","GraRS","mtlF mtlR mtlA mtlD","SACOL2147","USA300HOU_2147","mtlR",-0.13,0.91,"BglG family transcriptional antiterminator"
